dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
ligra,ligra_BellmanFord,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M,100000000,278890287,0.358564,1611032,994937,616095,6.16095,0.382423,616095,0.382423,0,0,0,0,0,0,0,0
ligra,ligra_CF,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,100000002,96412667,1.03721,344026,168296,175730,1.7573,0.510804,175730,0.510804,0,0,0,0,0,0,0,0
ligra,ligra_Components,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M,100000000,222014549,0.450421,6742226,6426176,316050,3.1605,0.0468762,316050,0.0468762,0,0,0,0,0,0,0,0
ligra,ligra_Components-Shortcut,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,100000002,214150433,0.466961,7249835,7127789,122046,1.22046,0.0168343,122046,0.0168343,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M,100000000,171240074,0.583975,7925146,4928252,2996894,29.9689,0.37815,2996894,0.37815,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M,100000001,148122983,0.675115,486683,121999,364684,3.64684,0.749326,364676,0.749309,8,1.64378e-05,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M,100000002,198940405,0.502663,5762265,2471723,3290542,32.9054,0.57105,3290542,0.57105,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,100000001,170365291,0.586974,504039,307908,196131,1.96131,0.389119,196128,0.389113,3,5.95192e-06,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,100000000,151471013,0.660192,1562709,839319,723390,7.2339,0.462908,723390,0.462908,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M,100000000,180887521,0.55283,353951,215192,138759,1.38759,0.392029,138751,0.392006,8,2.2602e-05,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,100000003,369452279,0.270671,2533970,487586,2046384,20.4638,0.80758,2046384,0.80758,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_32000M.length_250M,100000001,368665233,0.271249,4703941,4560009,143932,1.43932,0.0305982,143932,0.0305982,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_36000M.length_250M,100000004,379289428,0.263651,2352550,1997022,355528,3.55528,0.151125,355522,0.151122,6,2.55042e-06,0,0,0,0,0,0
qmm,qmm_fp,compute_fp_1_new,100000005,201776783,0.495597,436848,316961,119887,1.19887,0.274436,119694,0.273995,193,0.000441801,0,0,0,0,0,0
qmm,qmm_fp,compute_fp_5_new,100000002,141738720,0.705524,814657,538744,275913,2.75913,0.338686,275823,0.338576,90,0.000110476,0,0,0,0,0,0
qmm,qmm_fp,compute_fp_7_new,100000000,243706219,0.41033,1499880,1313217,186663,1.86663,0.124452,186388,0.124269,275,0.000183348,0,0,0,0,0,0
qmm,qmm_int,compute_int_14_new,100000001,55191721,1.81187,567536,22555,544981,5.44981,0.960258,543751,0.958091,1230,0.00216726,0,0,0,0,0,0
qmm,qmm_int,compute_int_23_new,100000001,280945875,0.35594,507330,241372,265958,2.65958,0.524231,265904,0.524124,54,0.00010644,0,0,0,0,0,0
qmm,qmm_int,compute_int_27_new,100000003,205608897,0.48636,297483,13217,284266,2.84266,0.955571,284168,0.955241,98,0.000329431,0,0,0,0,0,0
qmm,qmm_int,compute_int_2_new,100000001,708636498,0.141116,7414809,6470001,944808,9.44808,0.127422,944748,0.127414,60,8.09191e-06,0,0,0,0,0,0
qmm,qmm_int,compute_int_34_new,100000005,232649940,0.42983,226566,86538,140028,1.40028,0.618045,139904,0.617498,124,0.000547302,0,0,0,0,0,0
qmm,qmm_int,compute_int_37_new,100000002,270209207,0.370084,3015976,637097,2378879,23.7888,0.788759,2378707,0.788702,172,5.70296e-05,0,0,0,0,0,0
qmm,qmm_int,compute_int_38_new,100000002,151648864,0.659418,1969635,1522948,446687,4.46687,0.226787,445573,0.226221,1114,0.000565587,0,0,0,0,0,0
qmm,qmm_int,compute_int_45_new,100000001,520367750,0.192172,260756,12,260744,2.60744,0.999954,260636,0.99954,108,0.00041418,0,0,0,0,0,0
qmm,qmm_srv,srv_0_new,100000005,61956130,1.61405,1636495,1408298,228197,2.28197,0.139443,140407,0.0857974,87790,0.0536451,0,0,0,0,0,0
qmm,qmm_srv,srv_10_new,100000000,59382447,1.684,1620501,1387958,232543,2.32543,0.143501,144883,0.0894063,87660,0.0540944,0,0,0,0,0,0
